job_url,ref_nr
https://www.arbeitsagentur.de/jobsuche/jobdetail/11949-17215348-S,11949-17215348-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/11949-17213710-S,11949-17213710-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12608-1401794-26075-1-S,12608-1401794-26075-1-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/11949-17215211-S,11949-17215211-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003037364-S,10001-1003037364-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/11081-PL3R774IB27G411G-S,11081-PL3R774IB27G411G-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/11119-4801686659-S,11119-4801686659-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003042966-S,10001-1003042966-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003041352-S,10001-1003041352-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003035934-S,10001-1003035934-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003043130-S,10001-1003043130-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/11119-4804205278-S,11119-4804205278-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/13635-2975cdda_JB5139837-S,13635-2975cdda_JB5139837-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12826-SA0135522_JB5140610-S,12826-SA0135522_JB5140610-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003036437-S,10001-1003036437-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12608-1401775-8325-1-S,12608-1401775-8325-1-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/11949-17215127-S,11949-17215127-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003039627-S,10001-1003039627-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/15537-JOB-838211-S,15537-JOB-838211-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/12811-2249255-S,12811-2249255-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/11119-4791377715-S,11119-4791377715-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003038675-S,10001-1003038675-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/11119-4792439990-S,11119-4792439990-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/14751-437A316-S,14751-437A316-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/11119-4791095173-S,11119-4791095173-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/15910-k55670.3577-S,15910-k55670.3577-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/11070-1570952-1-S,11070-1570952-1-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/11949-17215656-S,11949-17215656-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003035751-S,10001-1003035751-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1206447632-S,10000-1206447632-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003036822-S,10001-1003036822-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/11949-17215982-S,11949-17215982-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/14742-3067502_3931152-S,14742-3067502_3931152-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/18024-100fe0000300L-S,18024-100fe0000300L-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/14421-00076d1b7ea001-S,14421-00076d1b7ea001-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/11112-2936-1770860-0-S,11112-2936-1770860-0-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003038520-S,10001-1003038520-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003040521-S,10001-1003040521-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/11949-17216207-S,11949-17216207-S
https://www.arbeitsagentur.de/jobsuche/jobdetail/14413-k27218.3045-S,14413-k27218.3045-S
